id,plu,category,commodity,variety,size,botanical,aka
477,3618,Fruits,APPLES,Opal,All Sizes,Malus domestica,
478,3619,Fruits,APPLES,Milwa,All Sizes,Malus domestica,
479,3620,Fruits,APPLES,Plumac,All Sizes,Malus domestica,
480,3621,Fruits,MANGO,Francis,All Sizes,Mangifera Indica,"Madame Francis, Francine"
481,3622,Fruits,MELON,Honey Green,All Sizes,Cucumis melo,Papaya Melon
482,3623,Fruits,MELON,Hami,All Sizes,Cucumis melo,Chinese Hami or Snow Melon
483,3624,Fruits,MELON,Korean,All Sizes,Cucumis melo,
484,3625,Fruits,APPLES,Minnewashta,All Sizes,Malus domestica,Zestar
485,3626,Fruits,LEMONS,Meyer,All Sizes,Citrus limon,
486,3627,Fruits,APPLES,PremA17,Large,Malus domestica,
487,3628,Fruits,APPLES,PremA280,All Sizes,Malus domestica,
488,3629,Fruits,APPLES,CIVG198,All Sizes,Malus domestica,
489,3630,Fruits,APPLES,Co-op 43,All Sizes,Malus domestica,
490,3631,Vegetables,PUMPKIN,Pink,All Sizes,Eucurbita maxima,Porcelain Doll Pumpkin
491,3632,Fruits,TANGERINES/MANDARINS,Dekopon,All Sizes,Citrus reticulata siranui,Shiranui/Hallabong/Sumo Citrus® 
492,4011,Fruits,BANANAS,Yellow (includes Cavendish),All Sizes,Musa spp.,
493,4012,Fruits,ORANGES,Navel,Large,Citrus spp.,
494,4013,Fruits,ORANGES,Navel,Small,Citrus spp.,
495,4014,Fruits,ORANGES,Valencia,Small,Citrus spp.,
496,4014,Fruits,ORANGES,Valencia,Small,Citrus spp.,
497,4015,Fruits,APPLES,Red Delicious,Small,Malus domestica,
498,4016,Fruits,APPLES,Red Delicious,Large,Malus domestica,
499,4017,Fruits,APPLES,Granny Smith,Large,Malus domestica,
500,4018,Fruits,APPLES,Granny Smith,Large,Malus domestica,
501,4019,Fruits,APPLES,McIntosh,Large,Malus domestica,
502,4020,Fruits,APPLES,Golden Delicious,Large,Malus domestica,
503,4021,Fruits,APPLES,Golden Delicious,Small,Malus domestica,
504,4022,Fruits,GRAPES,White/Green Seedless - Peerlette Seedless/Thompson Seedless,All Sizes,Vitis vinifera,
